customer_id,email,first_name,last_name,signup_date,segment,region,city,age,gender,marketing_opt_in,preferred_channel,lifetime_value,total_orders
CUST-00032,customer_00032@email.com,Chris,Miller,2020-11-11,Silver,West,Los Angeles,46,Prefer not to say,False,None,2741.04,24
CUST-00033,customer_00033@email.com,Jane,Smith,2023-12-07,Gold,South,Philadelphia,28,M,False,Push,4830.3,28
CUST-00034,customer_00034@email.com,John,Smith,2020-08-04,Gold,East,Houston,50,F,False,Push,1986.11,50
CUST-00035,customer_00035@email.com,Mike,Williams,2023-10-23,Bronze,North,San Diego,24,Other,False,Email,624.54,47
CUST-00036,customer_00036@email.com,Emily,Williams,2020-10-17,Silver,East,San Diego,68,F,False,Push,2407.0,29
CUST-00037,customer_00037@email.com,Lisa,Williams,2024-01-18,Bronze,North,Phoenix,20,M,True,Push,3257.45,44
CUST-00038,customer_00038@email.com,Mike,Garcia,2024-06-26,Bronze,South,Dallas,29,F,True,None,4794.39,15
CUST-00039,customer_00039@email.com,Chris,Garcia,2024-06-21,Silver,South,Chicago,58,Prefer not to say,False,Email,3700.07,13
CUST-00040,customer_00040@email.com,Chris,Brown,2022-07-09,Bronze,North,Houston,31,Other,True,Email,4007.54,35
CUST-00041,customer_00041@email.com,Emily,Williams,2021-01-17,Gold,South,San Diego,25,Other,False,Push,3005.01,40
CUST-00042,customer_00042@email.com,Jane,Williams,2022-03-14,Gold,East,San Diego,57,F,True,Email,3376.94,21
CUST-00043,customer_00043@email.com,Sarah,Williams,2020-08-29,Bronze,North,Chicago,41,F,False,None,3002.31,37
CUST-00044,customer_00044@email.com,Chris,Johnson,2022-02-24,Bronze,West,Dallas,62,F,True,None,1479.73,12
CUST-00045,customer_00045@email.com,Lisa,Jones,2021-10-06,Gold,North,Philadelphia,18,Prefer not to say,True,SMS,4085.32,36
CUST-00046,customer_00046@email.com,Lisa,Brown,2022-11-01,Bronze,West,San Antonio,63,Prefer not to say,False,SMS,459.22,2
CUST-00047,customer_00047@email.com,Sarah,Williams,2024-06-17,Bronze,North,Phoenix,32,Other,True,None,2849.97,50
CUST-00048,customer_00048@email.com,Lisa,Jones,2024-04-17,Bronze,Central,Los Angeles,54,M,True,Push,2733.11,49
CUST-00049,customer_00049@email.com,Lisa,Jones,2020-03-26,Bronze,South,San Antonio,24,F,True,Email,2276.18,23
CUST-00050,customer_00050@email.com,Jane,Brown,2024-07-30,Platinum,North,Houston,31,Other,False,SMS,3099.95,14
CUST-00051,customer_00051@email.com,Sarah,Miller,2024-07-24,Bronze,North,Austin,40,Other,True,Push,4896.05,19
CUST-00052,customer_00052@email.com,David,Miller,2021-08-15,Bronze,Central,Los Angeles,26,Prefer not to say,True,Push,4341.89,9
CUST-00053,customer_00053@email.com,Mike,Johnson,2023-12-07,Gold,South,Philadelphia,71,F,False,None,753.75,41
CUST-00054,customer_00054@email.com,Chris,Brown,2021-07-04,Silver,West,Los Angeles,58,M,False,Push,3488.78,24
CUST-00055,customer_00055@email.com,Lisa,Williams,2022-07-20,Silver,Central,New York,73,M,False,Push,4258.03,35
CUST-00056,customer_00056@email.com,Sarah,Brown,2022-03-25,Bronze,South,San Diego,35,Other,True,Push,2759.19,9
CUST-00057,customer_00057@email.com,Lisa,Miller,2023-03-05,Bronze,East,New York,20,M,False,Email,664.97,11
CUST-00058,customer_00058@email.com,Lisa,Smith,2022-06-22,Platinum,West,Houston,-1,F,True,SMS,4378.4,18
CUST-00059,customer_00059@email.com,Emily,Williams,2020-07-10,Bronze,North,Philadelphia,60,F,True,None,3146.74,47
CUST-00060,customer_00060@email.com,Sarah,Brown,2023-12-03,Gold,North,Los Angeles,18,F,False,Email,706.86,15
CUST-00061,customer_00061@email.com,Lisa,Smith,2022-11-29,Gold,North,Philadelphia,70,M,False,SMS,2414.62,15
CUST-00062,customer_00062@email.com,Jane,Garcia,2022-02-23,Bronze,North,Los Angeles,38,Other,True,SMS,1944.47,49
CUST-00063,customer_00063@email.com,Mike,Smith,2020-09-29,Gold,Central,Austin,18,F,False,Push,3626.04,41
CUST-00064,customer_00064@email.com,Mike,Brown,2024-03-12,Bronze,Central,San Diego,73,F,True,Email,743.07,8
CUST-00065,customer_00065@email.com,Chris,Williams,2023-04-22,Gold,West,Philadelphia,68,F,True,Push,3240.87,16
CUST-00066,customer_00066@email.com,David,Miller,2023-02-07,Silver,North,Phoenix,31,F,False,Push,3248.54,16
CUST-00067,customer_00067@email.com,Chris,Smith,2022-10-10,Bronze,South,San Diego,58,M,True,Push,4672.93,9
CUST-00068,customer_00068@email.com,Chris,Williams,2022-03-03,Silver,Central,Chicago,66,Prefer not to say,True,Email,2957.45,1
CUST-00069,customer_00069@email.com,Sarah,Smith,2021-06-20,Gold,North,San Antonio,50,Other,False,None,3523.96,6
CUST-00070,customer_00070@email.com,Mike,Williams,2023-08-04,Silver,North,Phoenix,23,F,True,Push,1984.12,41
CUST-00071,customer_00071@email.com,Jane,Williams,2024-04-12,Silver,West,Houston,-1,F,True,None,624.13,40
CUST-00072,customer_00072@email.com,John,Williams,2023-05-31,Silver,South,Los Angeles,18,F,True,SMS,2507.24,23
CUST-00073,customer_00073@email.com,David,Johnson,2022-12-07,Silver,East,Chicago,65,Other,True,Email,1708.3,28
CUST-00074,customer_00074@email.com,Jane,Williams,2021-07-11,Bronze,Central,Los Angeles,49,Prefer not to say,True,Email,2523.07,37
CUST-00075,customer_00075@email.com,Emily,Johnson,2020-12-07,Silver,East,Los Angeles,75,M,True,Email,267.99,1
CUST-00076,customer_00076@email.com,John,Brown,2021-05-15,Silver,East,San Antonio,27,F,True,None,1161.35,16
CUST-00077,customer_00077@email.com,Emily,Williams,2022-05-02,Bronze,North,Austin,41,M,True,SMS,1154.77,34
CUST-00078,customer_00078@email.com,Chris,Smith,2020-04-04,Bronze,West,Phoenix,67,Other,True,Email,2787.8,1
CUST-00079,invalid-email,Sarah,Williams,2022-01-25,Gold,Central,Phoenix,65,F,False,Push,2978.87,32
CUST-00080,customer_00080@email.com,Sarah,Garcia,2024-05-01,Bronze,Central,Houston,27,M,False,Email,1203.34,23
CUST-00081,customer_00081@email.com,John,Williams,2023-07-26,Bronze,North,San Antonio,72,Other,True,SMS,2672.58,16
CUST-00082,customer_00082@email.com,Lisa,Smith,2022-05-09,Bronze,South,Phoenix,23,M,True,None,3519.19,24
CUST-00083,customer_00083@email.com,Jane,Jones,2022-07-27,Bronze,North,Dallas,26,Prefer not to say,True,Email,2203.17,9
CUST-00084,customer_00084@email.com,David,Williams,2021-04-29,Bronze,East,San Antonio,62,Other,True,None,1396.18,5
CUST-00085,customer_00085@email.com,Mike,Miller,2021-02-19,Bronze,Central,Los Angeles,27,M,True,None,2356.97,27
CUST-00086,customer_00086@email.com,Emily,Miller,2020-09-04,Gold,South,San Diego,37,Prefer not to say,True,Email,497.58,44
CUST-00087,customer_00087@email.com,John,Johnson,2021-09-15,Bronze,East,Chicago,23,F,True,None,2591.63,44
CUST-00088,customer_00088@email.com,David,Miller,2021-09-04,Platinum,South,New York,43,Prefer not to say,True,Email,2337.11,9
CUST-00089,customer_00089@email.com,John,Smith,2020-09-05,Bronze,South,Chicago,30,Prefer not to say,True,Email,2932.5,17
CUST-00090,customer_00090@email.com,Jane,Smith,2024-07-22,Silver,North,Houston,75,Prefer not to say,True,Email,4530.14,22
CUST-00091,customer_00091@email.com,John,Brown,2020-09-07,Silver,North,Chicago,54,Prefer not to say,False,None,195.94,44
CUST-00092,customer_00092@email.com,Mike,Williams,2022-05-23,Silver,South,Chicago,35,Other,False,SMS,221.51,40
CUST-00093,customer_00093@email.com,Sarah,Garcia,2023-06-17,Bronze,East,San Diego,44,Prefer not to say,True,Email,1434.89,9
CUST-00094,customer_00094@email.com,Sarah,Garcia,2022-05-08,Silver,Central,Houston,58,M,False,Push,2424.44,32
CUST-00095,customer_00095@email.com,Emily,Brown,2021-12-05,Bronze,East,Chicago,19,Other,True,Email,4484.04,50
CUST-00096,customer_00096@email.com,John,Miller,2021-07-29,Bronze,West,Dallas,40,F,True,Email,1276.89,16
CUST-00097,customer_00097@email.com,John,Miller,2021-06-29,Bronze,South,Austin,72,Prefer not to say,True,SMS,921.7,38
CUST-00098,customer_00098@email.com,Emily,Jones,2021-10-13,Bronze,North,Philadelphia,54,F,True,None,2733.52,12
CUST-00099,customer_00099@email.com,John,Smith,2022-10-01,Bronze,North,Houston,56,F,True,None,53.38,40
CUST-00100,customer_00100@email.com,Mike,Williams,2021-02-16,Silver,South,Philadelphia,21,M,True,SMS,3883.11,34
CUST-00101,customer_00101@email.com,Jane,Williams,2022-01-17,Platinum,West,Austin,24,Other,True,Push,725.44,11
CUST-00102,customer_00102@email.com,Chris,Miller,2024-02-08,Bronze,West,Philadelphia,29,Other,True,SMS,1923.0,47
CUST-00103,customer_00103@email.com,David,Johnson,2023-11-11,Bronze,South,New York,62,Prefer not to say,True,SMS,3031.82,40
CUST-00104,customer_00104@email.com,Jane,Brown,2021-03-28,Bronze,South,Philadelphia,65,M,True,Push,4912.78,11
CUST-00105,customer_00105@email.com,Jane,Miller,2023-07-26,Silver,East,San Diego,18,Other,True,SMS,3481.22,23
CUST-00106,customer_00106@email.com,Jane,Garcia,2021-06-09,Gold,North,New York,42,Prefer not to say,False,SMS,4428.53,32
CUST-00107,customer_00107@email.com,Emily,Jones,2022-02-14,Bronze,West,Los Angeles,71,Prefer not to say,True,SMS,2283.87,3
CUST-00108,customer_00108@email.com,John,Williams,2021-08-26,Gold,East,Los Angeles,22,Other,True,None,846.48,5
CUST-00109,customer_00109@email.com,Jane,Williams,2023-01-25,Bronze,Central,Austin,75,Prefer not to say,True,None,4715.09,11
CUST-00110,invalid-email,Chris,Johnson,2023-05-28,Bronze,North,Los Angeles,39,F,True,None,3501.12,47
CUST-00111,customer_00111@email.com,David,Garcia,2024-02-03,Bronze,East,Phoenix,33,M,True,None,2880.26,32
CUST-00112,customer_00112@email.com,John,Williams,2020-11-10,Bronze,North,San Antonio,23,Other,False,SMS,530.09,14
CUST-00113,customer_00113@email.com,David,Smith,2020-12-15,Bronze,West,Los Angeles,37,Prefer not to say,False,None,4479.64,17
CUST-00114,customer_00114@email.com,Chris,Johnson,2020-07-05,Bronze,East,San Antonio,41,F,False,Email,1353.32,30
CUST-00115,customer_00115@email.com,Sarah,Miller,2021-06-23,Silver,East,Austin,21,F,True,Email,3357.3,35
CUST-00116,customer_00116@email.com,Sarah,Jones,2022-04-27,Bronze,North,San Antonio,70,Prefer not to say,False,SMS,2407.5,6
CUST-00117,customer_00117@email.com,John,Jones,2022-03-19,Bronze,Central,Dallas,69,F,True,None,905.75,11
CUST-00118,customer_00118@email.com,Sarah,Johnson,2021-03-09,Bronze,North,San Antonio,23,Prefer not to say,True,SMS,4178.84,17
CUST-00119,customer_00119@email.com,Jane,Smith,2021-10-16,Gold,West,Dallas,43,Other,True,None,4589.95,1
CUST-00120,customer_00120@email.com,Chris,Smith,2024-05-29,Bronze,West,Chicago,27,M,True,Email,3939.44,35
CUST-00121,customer_00121@email.com,Chris,Williams,2021-12-05,Bronze,West,San Diego,54,Prefer not to say,True,SMS,1413.3,10
CUST-00122,invalid-email,Chris,Smith,2023-06-20,Bronze,West,Philadelphia,62,F,True,None,4608.13,24
CUST-00123,customer_00123@email.com,Emily,Miller,2020-02-11,Bronze,East,Phoenix,35,Prefer not to say,True,SMS,715.21,48
CUST-00124,customer_00124@email.com,Emily,Williams,2022-06-26,Silver,West,Austin,59,M,True,None,1096.38,27
CUST-00125,customer_00125@email.com,Lisa,Miller,2024-02-26,Bronze,Central,Philadelphia,70,M,True,Email,1590.06,33
CUST-00126,customer_00126@email.com,Mike,Miller,2022-04-06,Bronze,Central,Austin,19,F,True,SMS,4193.03,16
CUST-00127,customer_00127@email.com,Lisa,Smith,2020-03-08,Gold,East,Houston,35,Other,False,None,3195.28,8
CUST-00128,customer_00128@email.com,John,Johnson,2023-10-27,Platinum,East,San Diego,56,Prefer not to say,True,None,2955.06,23
CUST-00129,customer_00129@email.com,Mike,Miller,2021-12-06,Gold,East,Los Angeles,36,M,False,Email,856.39,37
CUST-00130,customer_00130@email.com,Sarah,Miller,2024-05-16,Platinum,South,Houston,61,F,True,None,2590.74,50
CUST-00131,customer_00131@email.com,John,Brown,2024-04-20,Silver,South,Chicago,56,M,True,Push,3061.3,20
CUST-00132,customer_00132@email.com,David,Brown,2023-12-30,Platinum,West,Philadelphia,47,Other,True,None,1545.62,34
CUST-00133,customer_00133@email.com,Chris,Jones,2024-08-15,Bronze,North,New York,50,Other,True,Push,3437.85,31
CUST-00134,customer_00134@email.com,Emily,Williams,2020-05-10,Silver,East,Phoenix,34,Other,True,SMS,2610.6,16
CUST-00135,customer_00135@email.com,Chris,Garcia,2020-04-26,Platinum,East,Chicago,64,M,False,Push,1334.16,27
CUST-00136,customer_00136@email.com,Chris,Garcia,2022-04-08,Silver,North,Austin,63,F,True,SMS,3447.27,41
CUST-00137,customer_00137@email.com,Lisa,Garcia,2024-05-26,Platinum,East,Dallas,37,F,True,Push,533.14,9
CUST-00138,customer_00138@email.com,David,Garcia,2024-02-26,Bronze,Central,Chicago,61,Other,True,SMS,1808.65,48
CUST-00139,customer_00139@email.com,Chris,Miller,2021-09-20,Bronze,East,Philadelphia,34,Other,False,Email,2379.16,41
CUST-00140,customer_00140@email.com,Jane,Brown,2023-04-10,Bronze,South,Dallas,25,Prefer not to say,True,None,317.61,10
CUST-00141,customer_00141@email.com,Sarah,Williams,2020-10-08,Bronze,West,Austin,75,Prefer not to say,True,Push,4318.85,12
CUST-00142,customer_00142@email.com,Jane,Brown,2024-05-14,Gold,East,Chicago,38,M,True,None,1403.96,49
CUST-00143,customer_00143@email.com,Mike,Jones,2024-05-03,Gold,South,San Diego,68,M,True,None,3185.76,26
CUST-00144,customer_00144@email.com,Lisa,Brown,2022-05-28,Silver,North,New York,52,F,True,Email,4465.43,49
CUST-00145,customer_00145@email.com,Sarah,Smith,2022-12-23,Bronze,North,Houston,32,Other,True,SMS,558.41,33
CUST-00146,customer_00146@email.com,David,Johnson,2023-04-20,Bronze,North,New York,37,Other,False,Push,2196.64,44
CUST-00147,customer_00147@email.com,Emily,Brown,2020-10-01,Silver,East,Houston,28,Prefer not to say,True,SMS,1160.39,9
CUST-00148,customer_00148@email.com,John,Jones,2021-03-08,Silver,Central,Chicago,25,Other,True,None,4388.89,17
CUST-00149,customer_00149@email.com,John,Jones,2024-04-28,Bronze,North,Los Angeles,59,M,True,Email,2113.04,25
CUST-00150,customer_00150@email.com,David,Brown,2020-09-10,Bronze,South,Houston,62,M,True,None,3325.24,43
CUST-00151,customer_00151@email.com,David,Jones,2022-12-01,Silver,Central,Chicago,44,M,True,Push,614.36,7
CUST-00152,customer_00152@email.com,Sarah,Jones,2022-10-16,Gold,South,Phoenix,71,F,True,None,1511.99,3
CUST-00153,customer_00153@email.com,Lisa,Johnson,2023-01-27,Bronze,West,Philadelphia,33,M,True,Email,4539.06,37
CUST-00154,customer_00154@email.com,Lisa,Johnson,2023-10-02,Bronze,North,Dallas,22,M,True,SMS,2310.92,19
CUST-00155,customer_00155@email.com,Lisa,Smith,2021-06-24,Silver,North,Chicago,73,M,True,Push,4017.9,21
CUST-00156,customer_00156@email.com,Jane,Smith,2022-05-22,Bronze,North,New York,72,F,True,Push,1819.76,29
CUST-00157,customer_00157@email.com,David,Garcia,2023-06-27,Platinum,North,Philadelphia,70,Other,True,Email,2033.85,30
CUST-00158,customer_00158@email.com,Chris,Garcia,2021-07-10,Bronze,West,San Antonio,59,F,True,SMS,3496.04,4
CUST-00159,customer_00159@email.com,Jane,Brown,2020-11-22,Gold,Central,San Diego,69,Prefer not to say,True,None,3906.86,40
CUST-00160,customer_00160@email.com,Mike,Brown,2020-02-29,Bronze,West,Los Angeles,74,Prefer not to say,False,Email,363.51,42
CUST-00161,customer_00161@email.com,John,Garcia,2021-10-05,Silver,Central,Austin,64,F,True,Email,2192.6,47
CUST-00162,customer_00162@email.com,Lisa,Williams,2021-05-24,Bronze,West,Chicago,71,M,True,SMS,2552.56,31
CUST-00163,customer_00163@email.com,Mike,Smith,2022-10-12,Platinum,West,Philadelphia,33,Other,True,Email,2559.3,36
CUST-00164,customer_00164@email.com,Chris,Brown,2023-08-10,Bronze,South,Los Angeles,47,Prefer not to say,False,Email,4290.12,29
CUST-00165,customer_00165@email.com,Jane,Brown,2021-10-09,Silver,North,Los Angeles,43,Prefer not to say,True,Email,4138.25,39
CUST-00166,customer_00166@email.com,David,Jones,2023-06-21,Gold,Central,Houston,59,Prefer not to say,True,Push,4135.29,15
CUST-00167,customer_00167@email.com,Emily,Jones,2022-07-19,Bronze,Central,Austin,48,Other,False,Email,532.31,43
CUST-00168,customer_00168@email.com,John,Williams,2021-03-30,Gold,East,Phoenix,53,Other,True,Email,4489.54,32
CUST-00169,customer_00169@email.com,Chris,Smith,2020-10-14,Gold,East,Austin,30,F,True,None,1117.17,13
CUST-00170,customer_00170@email.com,Emily,Smith,2024-01-07,Bronze,West,New York,58,M,False,None,3309.36,33
CUST-00171,customer_00171@email.com,Lisa,Smith,2020-10-02,Bronze,Central,New York,53,Prefer not to say,False,SMS,3474.5,12
CUST-00172,customer_00172@email.com,Mike,Smith,2024-02-05,Silver,West,Austin,56,Other,False,None,4898.53,45
CUST-00173,customer_00173@email.com,Sarah,Williams,2024-04-10,Gold,West,Philadelphia,36,Prefer not to say,True,SMS,2093.09,45
CUST-00174,customer_00174@email.com,David,Miller,2024-03-12,Bronze,Central,Philadelphia,63,F,True,SMS,3139.63,19
CUST-00175,customer_00175@email.com,Emily,Garcia,2023-11-07,Silver,South,Chicago,50,Other,True,Push,2833.29,38
CUST-00176,customer_00176@email.com,Chris,Garcia,2023-03-14,Bronze,Central,Phoenix,74,Prefer not to say,True,Email,175.1,10
CUST-00177,customer_00177@email.com,John,Johnson,2020-04-18,Silver,East,Chicago,36,Other,True,Email,3468.44,19
CUST-00178,customer_00178@email.com,John,Williams,2021-02-21,Bronze,West,Los Angeles,57,F,False,SMS,2579.07,45
CUST-00179,customer_00179@email.com,John,Brown,2021-08-12,Bronze,West,San Antonio,68,Other,True,Email,3731.17,13
CUST-00180,customer_00180@email.com,Lisa,Miller,2023-06-24,Silver,South,Philadelphia,66,F,True,Push,2271.63,44
CUST-00181,customer_00181@email.com,Mike,Johnson,2020-06-01,Gold,Central,Los Angeles,42,M,False,Push,2805.16,9
CUST-00182,customer_00182@email.com,David,Smith,2020-11-25,Bronze,East,San Diego,63,F,True,SMS,4646.71,39
CUST-00183,customer_00183@email.com,David,Brown,2020-04-14,Silver,Central,Dallas,40,M,True,SMS,4787.09,34
CUST-00184,customer_00184@email.com,Mike,Brown,2020-05-19,Silver,Central,Dallas,43,M,True,SMS,4422.81,43
CUST-00185,customer_00185@email.com,Emily,Williams,2021-11-10,Silver,East,Houston,66,Prefer not to say,True,Email,3361.25,29
CUST-00186,customer_00186@email.com,Sarah,Smith,2021-05-07,Silver,East,San Antonio,68,M,False,Push,2724.17,19
CUST-00187,customer_00187@email.com,Emily,Jones,2020-02-20,Bronze,Central,San Diego,49,M,True,SMS,1635.55,6
CUST-00188,customer_00188@email.com,Mike,Miller,2020-07-15,Silver,Central,Dallas,18,M,True,SMS,4331.51,28
CUST-00189,customer_00189@email.com,Sarah,Jones,2020-07-31,Bronze,West,Los Angeles,65,F,True,None,3598.5,3
CUST-00190,customer_00190@email.com,Jane,Smith,2020-06-28,Gold,South,Phoenix,53,M,True,Push,2067.78,29
CUST-00191,customer_00191@email.com,Chris,Brown,2023-07-14,Silver,East,New York,42,M,True,Email,3792.0,38
CUST-00192,customer_00192@email.com,Jane,Williams,2020-04-03,Bronze,Central,Los Angeles,36,Other,True,Push,3838.11,29
CUST-00193,customer_00193@email.com,Chris,Miller,2022-02-20,Bronze,,San Diego,28,F,True,None,3994.01,35
CUST-00194,customer_00194@email.com,Mike,Williams,2021-08-27,Bronze,East,New York,53,F,True,Email,74.9,39
CUST-00195,customer_00195@email.com,Jane,Williams,2022-03-18,Bronze,South,Philadelphia,31,Prefer not to say,True,SMS,960.76,40
CUST-00196,customer_00196@email.com,Sarah,Smith,2021-06-01,Silver,South,Austin,72,M,False,Email,1488.73,5
CUST-00197,customer_00197@email.com,Jane,Johnson,2021-05-28,Platinum,Central,San Diego,39,Other,True,SMS,545.22,40
CUST-00198,customer_00198@email.com,Sarah,Williams,2020-05-22,Silver,West,San Diego,39,Other,True,Push,4048.11,28
CUST-00199,customer_00199@email.com,John,Williams,2020-12-11,Silver,South,Houston,63,Prefer not to say,True,Push,714.81,47
CUST-00200,customer_00200@email.com,Lisa,Brown,2021-11-10,Silver,West,Philadelphia,67,Other,False,Email,920.06,39
CUST-00201,customer_00201@email.com,David,Miller,2020-06-16,Silver,South,Dallas,30,Other,True,Email,4465.92,33
CUST-00202,customer_00202@email.com,John,Miller,2023-07-17,Bronze,Central,Austin,43,F,True,Push,2740.17,35
CUST-00203,customer_00203@email.com,Mike,Williams,2022-08-24,Gold,West,Houston,75,Other,True,None,2530.56,6
CUST-00204,customer_00204@email.com,Emily,Jones,2022-03-23,Bronze,North,Houston,72,F,True,None,838.15,37
CUST-00205,customer_00205@email.com,Mike,Garcia,2023-03-04,Platinum,West,Philadelphia,20,F,False,SMS,361.16,24
CUST-00206,customer_00206@email.com,John,Garcia,2021-04-24,Bronze,South,Dallas,68,Other,False,None,4593.61,3
CUST-00207,customer_00207@email.com,Emily,Smith,2020-03-22,Silver,Central,Phoenix,71,Other,True,None,3285.69,24
CUST-00208,customer_00208@email.com,Jane,Jones,2023-04-18,Bronze,East,San Antonio,32,Prefer not to say,True,Push,2459.96,31
CUST-00209,customer_00209@email.com,John,Jones,2023-05-22,Bronze,South,San Diego,28,F,True,Push,1097.01,12
CUST-00210,customer_00210@email.com,Emily,Jones,2020-11-18,Gold,North,Houston,-1,Other,True,None,3392.39,31
CUST-00211,customer_00211@email.com,Mike,Garcia,2021-03-07,Silver,West,New York,33,M,True,SMS,716.88,33
CUST-00212,customer_00212@email.com,Mike,Smith,2020-03-21,Bronze,South,Phoenix,29,Prefer not to say,True,Push,4738.91,14
CUST-00213,customer_00213@email.com,Lisa,Miller,2022-07-08,Bronze,West,Chicago,32,Prefer not to say,True,SMS,3134.9,33
CUST-00214,invalid-email,Mike,Garcia,2021-06-25,Platinum,East,San Diego,56,M,True,None,1958.04,7
CUST-00215,customer_00215@email.com,Sarah,Jones,2020-02-03,Gold,Central,San Antonio,70,F,True,SMS,2405.55,40
CUST-00216,customer_00216@email.com,John,Miller,2023-05-13,Bronze,Central,Dallas,66,M,True,None,3313.99,39
CUST-00217,customer_00217@email.com,John,Miller,2023-01-09,Bronze,West,Dallas,44,Other,True,None,1185.96,31
CUST-00218,customer_00218@email.com,Chris,Williams,2024-06-05,Bronze,Central,Austin,24,Prefer not to say,True,Push,2411.85,15
CUST-00219,customer_00219@email.com,David,Jones,2020-06-20,Bronze,Central,San Antonio,34,F,True,Email,2911.04,8
CUST-00220,customer_00220@email.com,John,Brown,2022-11-30,Silver,South,Philadelphia,44,Other,True,SMS,2159.05,38
CUST-00221,customer_00221@email.com,David,Miller,2021-06-03,Gold,Central,San Antonio,54,Other,True,None,3787.11,27
CUST-00222,customer_00222@email.com,Lisa,Johnson,2023-02-04,Bronze,East,Dallas,53,Prefer not to say,True,Push,2909.37,50
CUST-00223,customer_00223@email.com,Chris,Garcia,2023-12-15,Bronze,South,Los Angeles,65,F,False,SMS,546.38,33
CUST-00224,customer_00224@email.com,Emily,Miller,2022-03-31,Bronze,Central,Austin,62,M,True,None,4824.62,1
CUST-00225,customer_00225@email.com,Jane,Miller,2024-07-05,Bronze,,San Diego,56,Prefer not to say,True,Email,1352.31,24
